,NED_id,ra,dec,class
0,PKS 0000-550,0.7942899999999999,-54.74892,j
1,ESO 349- G 022,0.80408,-35.93708,j
2,MCG +09-01-002,0.90966,51.77794,u
3,IC 1531,2.3980900000000003,-32.27686,j
4,NGC 0025,2.4969900000000003,-57.02081999999999,j
5,2MASX J00112171+5231437,2.84041,52.528819999999996,j
6,NGC 0055,3.7233400000000003,-39.19663,g
7,ESO 350- G 015,6.381069999999999,-33.04613,j
8,PKS 0026-014,7.254060000000001,-1.2282899999999999,p
9,4C +10.01,8.73405,10.46487,j
10,2MASX J00375761-2504254,9.49014,-25.07375,j
11,NGC 0193,9.82741,3.3313,j
12,NGC 0215,10.20364,-56.21406999999999,j
13,NGC 0253,11.888060000000001,-25.2888,g
14,NGC 0262,12.19641,31.95696,p
15,2MASX J00545264-0437033,13.71931,-4.61759,j
16,CGCG 384-032,14.01125,-1.3344,j
17,UGC 00583,14.106639999999999,-1.2624799999999998,j
18,UGC 00595,14.395470000000001,-1.39104,j
19,NGC 0315,14.453779999999998,30.352359999999997,j
20,NGC 0326 NED01,14.59431,26.866259999999997,j
21,ABELL S0112:[GMT93] C,14.596070000000001,-66.81281,p
22,2MASX J01014997-0252314,15.4582,-2.87542,j
23,NGC 0349,15.46144,-6.799810000000001,j
24,NGC 0383,16.85396,32.41256,j
25,IC 1623B,16.948179999999997,-17.506970000000003,p
26,2MASX J01100320+1358417,17.51331,13.978229999999998,p
27,2MASX J01103850+1649348,17.66041,16.8263,j
28,MCG -02-04-010,17.787879999999998,-13.96103,j
29,VV 382 NED01,18.24813,15.49125,j
30,CGCG 502-027 NED02,19.89573,32.18051,p
31,NGC 0541,21.4346,-1.3794799999999998,j
32,NGC 0547,21.50248,-1.34514,j
33,IC 0115,21.726760000000002,19.21446,j
34,4C +00.05,22.88709,0.55589,j
35,NGC 0612,23.49057,-36.49324,j
36,NGC 0613,23.575979999999998,-29.418490000000002,g
37,NGC 660,25.75979,13.645679999999999,g
38,CGCG 537-022,26.17824,42.737590000000004,j
39,ESO 152-IG 022 NED02,26.30067,-55.727669999999996,j
40,2MASX J01532586+7115067,28.357740000000003,71.25183,j
41,NGC 0741,29.08735,5.62887,j
42,UGC 01651,32.410740000000004,35.79723,j
43,MCG -01-06-064,32.7225,-6.559310000000001,j
44,2MASX J02141794+5144520,33.57472,51.74777,j
45,ESO 198- G 001,34.18797,-47.81908,j
46,UGC 01797,34.994679999999995,1.9302400000000002,j
47,CGCG 523-025,35.10069,36.99483,j
48,ESO 198- G 008,35.564440000000005,-51.10819,j
49,NGC 0891,35.63711,42.34832,g
50,UGC 01841 NOTES01,35.80408,42.98782,j
51,PKS 0223-162,36.57354,-16.01924,j
52,B2 0225+38A,37.12638,38.35346,j
53,MCG -03-07-023 NED02,37.411640000000006,-17.04298,p
54,B2 0226+28,37.412009999999995,28.98763,j
55,ESO 545- G 028,37.859159999999996,-17.653660000000002,j
56,NGC 0972,38.55573,29.31127,g
57,ESO 416- G 002,38.806090000000005,-29.604709999999997,j
58,NGC 1004,39.424170000000004,1.97531,j
59,NGC 1052,40.26999,-8.25583,p
60,NGC 1044 NED01,40.27572,8.738010000000001,j
61,NGC 1068,40.66988,-0.01329,g
62,4C +10.08,41.30619,10.78969,j
63,NGC 1084,41.49969,-7.578639999999999,g
64,2MASX J02460054+5115142,41.5022,51.25399,p
65,NGC 1097,41.579409999999996,-30.27491,g
66,PKS 0247-207,42.39305,-20.50928,j
67,IC 0260,42.75365,46.95485,j
68,NGC 1128 NED02,44.4232,6.02693,j
69,2MASX J02581124-5243419,44.54688,-52.72832,u
70,PKS 0257-398,44.861290000000004,-39.67713,j
71,PKS 0258-520,45.10657,-51.846959999999996,j
72,NGC 1167,45.42646,35.20563,p
73,UGC 02489 NED02,45.46454,35.84118,j
74,2MASX J03031501+1626188,45.81257,16.438579999999998,j
75,PKS 0304-12,46.71954,-12.10655,j
76,NGC 1218,47.10933,4.11083,j
77,2MASX J03101413+4249449,47.55898,42.82915,j
78,2MASX J03143297-3407398,48.63732,-34.12777,p
79,PKS 0314-440,49.16389,-43.85472,p
80,IC 0310,49.17918,41.32483,j
81,NGC 1275,49.95098,41.51168,p
82,2MASX J03203116+4306517,50.129909999999995,43.1144,p
83,B3 0317+428,50.158879999999996,43.07915,j
84,2MASX J03204016+2727485,50.167359999999995,27.463459999999998,j
85,2MASX J03212595+1806093,50.358109999999996,18.10266,j
86,Fornax A,50.67412,-37.2082,j
87,LCRS B032343.1-393755,51.39144,-39.45745,j
88,CGCG 416-010,51.60463,9.67041,j
89,2MASX J03263530+0911052,51.64718,9.18472,p
90,UGC 02748,51.97586,2.56167,j
91,UGC 02755,52.349540000000005,39.79221,j
92,MCG -04-09-020,52.83659,-26.10254,u
93,NGC 1365,53.40191,-36.14066,g
94,LCRS B033213.0-391035,53.51389,-39.010040000000004,j
95,UGC 02783,53.576640000000005,39.356759999999994,j
96,SARS 053.70356-39.95825,54.15585,-39.79397,u
97,2MASX J03381409+1005038,54.55871,10.08436,j
98,NGC 1399,54.62118,-35.45074,j
99,IC 342,56.70214,68.09611,g
100,4C +40.12,56.99986,40.733000000000004,j
