2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
00031064-5444562,PKS 0000-550,0.79429,-54.74892,317.34479,-61.00824,10.339,0.04,0.0325793636,0.032843083,0.0005003469,140.191967835,2.1357499888,-3,1,0,0,0,1549,54.8,1320.42078322,34155679960900000000000000000000000000000,0.0139166667,0.0139166667,0,0.0016663606,0.0016663606,0,0.7888277041,-54.7478612883,0.7888277041,-54.7478612883,j
00031298-3556132,ESO 349- G 022,0.80408,-35.93708,349.28857,-76.48599,10.939,0.08,0.0497613337,0.0511181149,0.0005003469,221.125045884,2.1643839504,-2,1,3,613.6,17.5125669164,1123.4,40.6,957.624730707,61627641240700000000000000000000000000000,0.0388888889,0.0230833333,0,0.0202857882,0.0003685089,0,0.8076649373,-35.940108355,0.7962901835,-35.9349855254,j
00033830+5146404,MCG +09-01-002,0.90966,51.77794,115.4481,-10.39776,10.455,0.045,0.0431867534,0.0452011579,0.0005003469,194.69588327,2.1551544904,-2,0,3,494.8,11.2169514575,0,0,571.835220946,28529145183000000000000000000000000000000,0.0586111111,0.0243055556,0,0.0366070409,0.0132376825,0.0075337045,0.8955898881,51.7715863701,0.8956725792,51.7757527543,u
00093552-3216365,IC 1531,2.39809,-32.27686,0.87292,-79.56383,9.706,0.038,0.0254577356,0.0258863368,0.0005003469,109.92774068,2.1247503246,-2,1,2,432.9,12.5717938259,558.8,16.9,500.298033847,7956970001650000000000000000000000000000,0.0404722222,0.03525,0,0.0684784277,0.0007244173,0,2.4243514066,-32.2956618248,2.4051104066,-32.274510615,j
00095929-5701148,NGC 0025,2.49699,-57.02082,313.95953,-59.21114,9.975,0.043,0.0315719952,0.0317599466,0.0005003469,135.460078856,2.1340410007,-3,1,0,0,0,618.6,23.9,527.315878953,12734966824500000000000000000000000000000,0.0193055556,0.0193055556,0,0.0014962931,0.0014962931,0,2.4929805643,-57.0186244082,2.4873695799,-57.0187345187,j
00112171+5231437,2MASX J00112171+5231437,2.84041,52.52882,116.76483,-9.86226,11.736,0.07,0.1043226781,0.1114675428,0.0005003469,502.65234255,2.2562669515,98,0,2,434,14.1410749238,0,0,501.569292422,166790258579000000000000000000000000000000,0.0205,0.0123055556,0,0.0274484692,0.001115099,0,2.8267003151,52.5370659026,2.8406955158,52.5332659683,j
00145360-3911478,NGC 0055,3.72334,-39.19663,332.88217,-75.73088,6.557,0.021,0.0004302998,0.0007960816,0.0003502428,1.9766960738,0.1173784698,9,0,4,224.8,8.2474238402,0,0,259.799025199,1336046694590000000000000000000000000,0.1212777778,0.0352222222,0,0.0680230216,0.0128633175,0.0049353385,3.7363415492,-39.2013664827,3.7633003373,-39.1974920558,g
00253146-3302458,ESO 350- G 015,6.38107,-33.04613,344.79538,-81.85265,11.38,0.076,0.0497012919,0.0510876858,0.0005003469,220.988580599,2.1643365875,-2,1,2,1494.4,44.418464629,2310,84.9,1969.12331132,126565954553000000000000000000000000000000,0.0325,0.02275,0,0.0329148812,0.0071934182,0,6.3746449047,-33.0614417772,6.3743786668,-33.0489415913,j
00290096-0113420,PKS 0026-014,7.25406,-1.22829,110.26842,-63.54736,11.432,0.065,0.0828143607,0.0871738045,0.0005003469,386.743407108,2.2197707143,98,0,1,284.8,8.6,0,0,329.140402032,64793487072900000000000000000000000000000,0.0055277778,0.0055277778,1,0.0003088136,0.0003088136,0,7.2581429943,-1.2250934111,7.2539750234,-1.2250934111,p
00345616+1027533,4C +10.01,8.73405,10.46487,116.30469,-52.19434,11.473,0.073,0.0568996401,0.0593684056,0.0005003469,258.333007989,2.177186908,98,0,1,850.4,28.7,0,0,982.79844764,86323409231400000000000000000000000000000,0.0081111111,0.0081111111,0,0.0004030092,0.0004030092,0,8.7330477382,10.4655244211,8.7330575913,10.4696925657,j
00375761-2504254,2MASX J00375761-2504254,9.49014,-25.07375,66.358,-86.34293,11.486,0.07,0.0635676188,0.0659458515,0.0005003469,288.291837264,2.1873388373,98,0,3,216.8,5.7463031594,0,0,250.553508288,27407504896100000000000000000000000000000,0.0311111111,0.0211388889,0,0.0265339979,0.0002167946,0,9.4860534525,-25.0762974663,9.4905532753,-25.0679191211,j
00391857+0319528,NGC 0193,9.82741,3.3313,116.97753,-59.4001,9.335,0.027,0.0147235908,0.0142472563,0.0004002775,59.9742219106,1.6849793738,-3,0,2,1277.3,32.4168166235,0,0,1476.1623438,6988237999760000000000000000000000000000,0.0439444444,0.0295,0,0.0274240941,0.0074311133,0,9.8242159024,3.3271290073,9.8200555209,3.3354721387,j
00404885-5612504,NGC 0215,10.20364,-56.21407,305.96448,-60.85156,9.961,0.039,0.0271989486,0.0272440243,0.0005003469,115.810358987,2.1269013524,-3,2,0,0,0,310.4,10.2176318196,264.595617244,4670697945650000000000000000000000000000,0.0546666667,0.0341944444,0,0.0306457876,0.0258447053,0,10.1924044516,-56.2043071705,10.2030436081,-56.2118354026,j
00473313-2517196,NGC 0253,11.88806,-25.2888,97.36301,-87.96452,3.815,0.016,0.0008105647,0.0011000758,0.0004086166,3.5098134914,0.6567789708,5,0,8,5572.3,121.4900819,0,0,6439.8492354,104411443167000000000000000000000000000,0.2305555556,0.0353611111,0,0.1647001983,0.0007202278,0.0032008456,11.9032333162,-25.27924296,11.9170457311,-25.2959218093,g
00484711+3157249,NGC 0262,12.19641,31.95696,122.27618,-30.9113,10.313,0.046,0.0150338069,0.0147926128,0.0004753296,62.2956805823,2.0017408928,-2,0,1,292.2,8.8,0,0,337.692505175,1724811392520000000000000000000000000000,0.0049722222,0.0049722222,1,8.18554787635E-005,8.18554787635E-005,0,12.1985046948,31.9558541057,12.193593257,31.9558038506,p
00545264-0437033,2MASX J00545264-0437033,13.71931,-4.61759,125.16944,-67.47436,11.744,0.057,0.0715421304,0.0720244803,0.0005003469,316.209734817,2.196677499,98,0,4,222.6,6.7867518004,0,0,257.256508049,33854870949700000000000000000000000000000,0.0939444444,0.0611111111,0,0.0250391404,0.0007427433,0.0017556692,13.7099936603,-4.6274051681,13.7141657104,-4.6232295754,j
00560269-0120037,CGCG 384-032,14.01125,-1.3344,125.57655,-64.18245,11.326,0.059,0.0426897405,0.0442005198,0.0005003469,190.247584744,2.1535897434,98,0,4,1198.4,24.3987704608,0,0,1384.97843327,65975947354800000000000000000000000000000,0.0866666667,0.0313333333,0,0.0724281712,0.0097083517,0.0021766265,13.9926387266,-1.3709642234,14.0009622192,-1.3501250138,j
00562558-0115449,UGC 00583,14.10664,-1.26248,125.78799,-64.10651,10.639,0.049,0.0382299669,0.0395459986,0.0005003469,169.637174439,2.1462963235,-5,0,4,1370.2,25.747232861,0,0,1583.52590893,59975179155900000000000000000000000000000,0.0844166667,0.0341111111,0,0.0700079326,0.0053663949,0,14.0949856266,-1.3084471278,14.1075144484,-1.28344073,j
